"BehaviorSpace results (NetLogo 6.2.0)"
"road-rage.nlogo"
"Control Exp:1"
"10/16/2021 01:39:12:976 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","distance-to-travel","initial-number-of-road-rage-drivers","number-of-cops","acceleration","max-patience","number-of-cars","deceleration","[step]","count turtles","min [speed] of turtles","max [speed] of turtles","mean[speed] of turtles","min [patience] of turtles","max [patience] of turtles","mean[patience] of turtles"
"1","50000","5","2","0.006","50","20","0.02","0","20","0.5","0.6411777253560434","0.5850616954107852","2","44","22.15"
"3","50000","5","2","0.006","50","20","0.02","0","20","0.5","0.6495856278341532","0.5949574331892106","0","49","24"
"2","50000","5","2","0.006","50","20","0.02","0","20","0.5","0.6331146582676599","0.5753071933723957","5","49","25.25"
"4","50000","5","2","0.006","50","20","0.02","0","20","0.5","0.6376109306240222","0.5734099568243756","0","49","25.05"
"5","50000","5","2","0.006","50","20","0.02","0","20","0.5","0.6491765025310353","0.578208396847119","0","49","24.05"
"5","50000","5","2","0.006","50","20","0.02","1","20","0.486","0.6414244974607157","0.5747590281116977","-1","49","20.05"
"2","50000","5","2","0.006","50","20","0.02","1","20","0.486","0.6391146582676599","0.5711693051034394","-1","48","22"
"3","50000","5","2","0.006","50","20","0.02","1","20","0.486","0.6555856278341532","0.5951724404545289","-1","49","21.2"
"4","50000","5","2","0.006","50","20","0.02","1","20","0.486","0.6430714282296449","0.5676661647423512","-1","49","17.45"
"5","50000","5","2","0.006","50","20","0.02","2","20","0.472","0.6474244974607157","0.5787590281116979","-1","49","19.95"
"2","50000","5","2","0.006","50","20","0.02","2","20","0.472","0.6451146582676599","0.57344012743712","-1","47","21.8"
"4","50000","5","2","0.006","50","20","0.02","2","20","0.472","0.6490714282296449","0.5694720337907816","-1","49","17.35"
"3","50000","5","2","0.006","50","20","0.02","2","20","0.472","0.6615856278341532","0.5972724404545289","-1","49","21.15"
"5","50000","5","2","0.006","50","20","0.02","3","20","0.45799999999999996","0.6534244974607157","0.5830590281116976","-1","49","19.85"
"2","50000","5","2","0.006","50","20","0.02","3","20","0.45799999999999996","0.6511146582676599","0.5758401274371201","-1","47","21.6"
"3","50000","5","2","0.006","50","20","0.02","3","20","0.45799999999999996","0.6675856278341532","0.599372440454529","-1","49","21.05"
"4","50000","5","2","0.006","50","20","0.02","3","20","0.45799999999999996","0.6550714282296449","0.5711720337907817","-1","49","17.25"
"5","50000","5","2","0.006","50","20","0.02","4","20","0.44399999999999995","0.6594244974607157","0.5873590281116978","-1","49","19.75"
"2","50000","5","2","0.006","50","20","0.02","4","20","0.44399999999999995","0.6571146582676599","0.5779742448288676","-1","47","21.4"
"5","50000","5","2","0.006","50","20","0.02","5","20","0.42999999999999994","0.6654244974607157","0.5916926819106935","-1","49","19.65"
"4","50000","5","2","0.006","50","20","0.02","4","20","0.44399999999999995","0.6610714282296449","0.5728720337907817","-1","49","17.15"
"3","50000","5","2","0.006","50","20","0.02","4","20","0.44399999999999995","0.6735856278341532","0.6014724404545289","-1","49","20.95"
"2","50000","5","2","0.006","50","20","0.02","5","20","0.42999999999999994","0.6631146582676599","0.5751732091079191","-1","47","21.2"
"5","50000","5","2","0.006","50","20","0.02","6","20","0.4159999999999999","0.6714244974607158","0.5954055216702171","-1","49","19.5"
"4","50000","5","2","0.006","50","20","0.02","5","20","0.42999999999999994","0.6670714282296449","0.5755720337907816","-1","49","17.05"
"3","50000","5","2","0.006","50","20","0.02","5","20","0.42999999999999994","0.6795856278341532","0.5965032497520845","-1","49","20.85"
"2","50000","5","2","0.006","50","20","0.02","6","20","0.4159999999999999","0.6691146582676599","0.5713721733869704","-1","47","21.05"
"5","50000","5","2","0.006","50","20","0.02","7","20","0.4019999999999999","0.6774244974607158","0.5997055216702172","-1","49","19.45"
"4","50000","5","2","0.006","50","20","0.02","6","20","0.4159999999999999","0.6730714282296449","0.5782720337907816","-1","49","16.95"
"3","50000","5","2","0.006","50","20","0.02","6","20","0.4159999999999999","0.6855856278341532","0.5999032497520845","-1","49","20.8"
"2","50000","5","2","0.006","50","20","0.02","7","20","0.4019999999999999","0.6751146582676599","0.5746721733869704","-1","47","20.85"
"5","50000","5","2","0.006","50","20","0.02","8","20","0.4079999999999999","0.6834244974607158","0.6046094174972392","-1","49","19.35"
"4","50000","5","2","0.006","50","20","0.02","7","20","0.42199999999999993","0.679071428229645","0.5751939628049599","0","49","16.95"
"3","50000","5","2","0.006","50","20","0.02","7","20","0.4019999999999999","0.6915856278341532","0.6033032497520845","-1","49","20.8"
"5","50000","5","2","0.006","50","20","0.02","9","20","0.3939999999999999","0.6841444513276295","0.5922381926242036","-1","49","19.1"
"2","50000","5","2","0.006","50","20","0.02","8","20","0.3879999999999999","0.6811146582676599","0.5710532238152715","-1","47","20.7"
"4","50000","5","2","0.006","50","20","0.02","8","20","0.42799999999999994","0.685071428229645","0.5798999673397232","0","49","16.9"
"2","50000","5","2","0.006","50","20","0.02","9","20","0.3939999999999999","0.6871146582676599","0.5758724459639806","0","47","20.65"
"3","50000","5","2","0.006","50","20","0.02","8","20","0.3879999999999999","0.6975856278341532","0.6077032497520845","-1","49","20.85"
"3","50000","5","2","0.006","50","20","0.02","9","20","0.3999999999999999","0.7035856278341532","0.6134032497520846","0","49","20.85"
"4","50000","5","2","0.006","50","20","0.02","9","20","0.43399999999999994","0.691071428229645","0.5845999673397232","0","49","16.8"
"2","50000","5","2","0.006","50","20","0.02","10","20","0.3999999999999999","0.6931146582676599","0.5802724459639806","0","47","20.45"
"3","50000","5","2","0.006","50","20","0.02","10","20","0.4119999999999999","0.7095856278341532","0.6191032497520845","0","49","20.85"
"5","50000","5","2","0.006","50","20","0.02","10","20","0.3599999999999999","0.6901444513276295","0.5814669677511679","-3","49","18.95"
"2","50000","5","2","0.006","50","20","0.02","11","20","0.4059999999999999","0.69911465826766","0.5828724459639807","0","47","20.25"
"4","50000","5","2","0.006","50","20","0.02","10","20","0.43999999999999995","0.697071428229645","0.583269486643138","0","49","16.65"
"2","50000","5","2","0.006","50","20","0.02","12","20","0.4119999999999999","0.70511465826766","0.5875724459639807","-1","47","20.15"
"4","50000","5","2","0.006","50","20","0.02","11","20","0.44599999999999995","0.703071428229645","0.5841390059465528","0","49","16.6"
"5","50000","5","2","0.006","50","20","0.02","11","20","0.3659999999999999","0.6961444513276295","0.5851669677511679","-5","49","18.75"
"3","50000","5","2","0.006","50","20","0.02","11","20","0.42399999999999993","0.7155856278341532","0.6248032497520846","0","49","20.85"
"4","50000","5","2","0.006","50","20","0.02","12","20","0.45199999999999996","0.709071428229645","0.5904390059465529","0","49","16.55"
"3","50000","5","2","0.006","50","20","0.02","12","20","0.43199999999999994","0.7215856278341533","0.630247020520132","0","49","20.85"
"5","50000","5","2","0.006","50","20","0.02","12","20","0.3719999999999999","0.701197918169331","0.589791310782728","-7","49","18.7"
"2","50000","5","2","0.006","50","20","0.02","13","20","0.4179999999999999","0.71111465826766","0.5908628211530834","-1","47","20"
"4","50000","5","2","0.006","50","20","0.02","13","20","0.45799999999999996","0.715071428229645","0.5967390059465528","0","49","16.55"
"3","50000","5","2","0.006","50","20","0.02","13","20","0.43799999999999994","0.7275856278341533","0.6356557053887778","0","49","20.8"
"5","50000","5","2","0.006","50","20","0.02","13","20","0.3779999999999999","0.701197918169331","0.5934707867219556","-7","49","18.6"
"4","50000","5","2","0.006","50","20","0.02","14","20","0.46399999999999997","0.721071428229645","0.603339005946553","0","49","16.55"
"2","50000","5","2","0.006","50","20","0.02","14","20","0.42399999999999993","0.71711465826766","0.5952628211530833","-1","47","19.95"
"5","50000","5","2","0.006","50","20","0.02","14","20","0.3839999999999999","0.701197918169331","0.5973707867219559","-8","49","18.35"
"4","50000","5","2","0.006","50","20","0.02","15","20","0.47","0.727071428229645","0.609690320575994","0","49","16.55"
"3","50000","5","2","0.006","50","20","0.02","14","20","0.44399999999999995","0.7335856278341533","0.6410557053887778","0","49","20.8"
"5","50000","5","2","0.006","50","20","0.02","15","20","0.3779999999999999","0.701197918169331","0.5944089962249619","-10","49","18.1"
"4","50000","5","2","0.006","50","20","0.02","16","20","0.476","0.733071428229645","0.6149903205759941","0","49","16.5"
"2","50000","5","2","0.006","50","20","0.02","15","20","0.42999999999999994","0.7198553200023456","0.5988998542398176","-1","47","19.85"
"3","50000","5","2","0.006","50","20","0.02","15","20","0.44999999999999996","0.7365298204214655","0.6463029150181433","0","49","20.8"
"5","50000","5","2","0.006","50","20","0.02","16","20","0.3639999999999999","0.7039888003590569","0.5961965034708551","-11","49","17.95"
"4","50000","5","2","0.006","50","20","0.02","17","20","0.482","0.739071428229645","0.618990320575994","0","49","16.35"
"2","50000","5","2","0.006","50","20","0.02","16","20","0.43599999999999994","0.7198553200023456","0.6020998542398177","-1","47","19.7"
"3","50000","5","2","0.006","50","20","0.02","16","20","0.45599999999999996","0.7421113050352075","0.6514029150181433","0","49","20.75"
"5","50000","5","2","0.006","50","20","0.02","17","20","0.34999999999999987","0.7059987392054001","0.5949352099161784","-12","49","17.75"
"2","50000","5","2","0.006","50","20","0.02","17","20","0.44199999999999995","0.7198553200023456","0.6058998542398175","-2","47","19.55"
"4","50000","5","2","0.006","50","20","0.02","18","20","0.488","0.7439291571950206","0.622633207024263","0","49","16.2"
"3","50000","5","2","0.006","50","20","0.02","17","20","0.46199999999999997","0.7481113050352075","0.6565029150181433","0","49","20.7"
"5","50000","5","2","0.006","50","20","0.02","18","20","0.4079999999999999","0.7100000000000002","0.6009011366013152","-14","49","17.5"
"4","50000","5","2","0.006","50","20","0.02","19","20","0.494","0.7439291571950206","0.6215443925627204","0","49","16.05"
"5","50000","5","2","0.006","50","20","0.02","19","20","0.4139999999999999","0.7220000000000002","0.6054011366013151","-14","49","17.4"
"4","50000","5","2","0.006","50","20","0.02","20","20","0.5","0.7439291571950206","0.6249125251752975","0","49","15.9"
"2","50000","5","2","0.006","50","20","0.02","18","20","0.44799999999999995","0.7198553200023456","0.6071181983535078","-3","47","19.35"
"3","50000","5","2","0.006","50","20","0.02","18","20","0.474","0.7541113050352075","0.6619029150181432","0","49","20.7"
"5","50000","5","2","0.006","50","20","0.02","20","20","0.41999999999999993","0.7340000000000002","0.6092271381195549","-14","49","17.35"
"4","50000","5","2","0.006","50","20","0.02","21","20","0.506","0.7439291571950206","0.6293125251752973","0","49","15.8"
"3","50000","5","2","0.006","50","20","0.02","19","20","0.486","0.7601113050352075","0.6657029150181435","-1","49","20.65"
"5","50000","5","2","0.006","50","20","0.02","21","20","0.42599999999999993","0.7460000000000002","0.612427138119555","-14","49","17.25"
"2","50000","5","2","0.006","50","20","0.02","19","20","0.45399999999999996","0.7198553200023456","0.6112181983535078","-3","47","19.25"
"4","50000","5","2","0.006","50","20","0.02","22","20","0.512","0.7439291571950206","0.6273630379433601","0","49","15.7"
"3","50000","5","2","0.006","50","20","0.02","20","20","0.48","0.7661113050352075","0.6693696402111959","-1","49","20.6"
"2","50000","5","2","0.006","50","20","0.02","20","20","0.45999999999999996","0.7198553200023456","0.608744812655233","-3","46","19.15"
"5","50000","5","2","0.006","50","20","0.02","22","20","0.43199999999999994","0.7580000000000002","0.6163011366013154","-14","49","17.1"
"3","50000","5","2","0.006","50","20","0.02","21","20","0.46599999999999997","0.7721113050352075","0.6726083157006962","-1","49","20.6"
"4","50000","5","2","0.006","50","20","0.02","23","20","0.5169953928970984","0.7439291571950206","0.6233003599489906","0","49","15.55"
"2","50000","5","2","0.006","50","20","0.02","21","20","0.46599999999999997","0.7198611877262668","0.609044812655233","-4","46","19"
"5","50000","5","2","0.006","50","20","0.02","23","20","0.44399999999999995","0.7700000000000002","0.6153357068584957","-14","49","16.9"
"2","50000","5","2","0.006","50","20","0.02","22","20","0.472","0.7258611877262668","0.6126448126552331","-5","46","18.85"
"4","50000","5","2","0.006","50","20","0.02","24","20","0.5029953928970984","0.7485439167760181","0.6274003599489905","0","49","15.45"
"3","50000","5","2","0.006","50","20","0.02","22","20","0.45199999999999996","0.7766903149006493","0.6755301483377519","-1","49","20.6"
"5","50000","5","2","0.006","50","20","0.02","24","20","0.43399999999999994","0.7760000000000002","0.6164011366013151","-14","49","16.7"
"2","50000","5","2","0.006","50","20","0.02","23","20","0.45799999999999996","0.7318611877262668","0.615844812655233","-5","46","18.8"
"4","50000","5","2","0.006","50","20","0.02","25","20","0.5149953928970984","0.7520000000000002","0.6249831371643337","0","49","15.35"
"3","50000","5","2","0.006","50","20","0.02","23","20","0.43799999999999994","0.7725479577763246","0.669803937906612","-1","49","20.55"
"5","50000","5","2","0.006","50","20","0.02","25","20","0.41999999999999993","0.7820000000000003","0.6180617083767351","-14","49","16.65"
"2","50000","5","2","0.006","50","20","0.02","24","20","0.47","0.7378611877262669","0.6203448126552331","-5","46","18.75"
"4","50000","5","2","0.006","50","20","0.02","26","20","0.51","0.7580000000000002","0.6264831371643339","0","49","15.3"
"3","50000","5","2","0.006","50","20","0.02","24","20","0.42399999999999993","0.7725479577763246","0.6677898652211252","-1","49","20.5"
"2","50000","5","2","0.006","50","20","0.02","25","20","0.482","0.7438611877262669","0.6251448126552331","-5","46","18.7"
"5","50000","5","2","0.006","50","20","0.02","26","20","0.3999999999999999","0.7880000000000003","0.616643063460793","-15","49","16.5"
"4","50000","5","2","0.006","50","20","0.02","27","20","0.49","0.7640000000000002","0.6249831371643341","0","49","15.15"
"2","50000","5","2","0.006","50","20","0.02","26","20","0.494","0.7498611877262669","0.6292448126552331","-6","46","18.6"
"3","50000","5","2","0.006","50","20","0.02","25","20","0.4099999999999999","0.7725479577763246","0.665072615398978","-1","49","20.25"
"4","50000","5","2","0.006","50","20","0.02","28","20","0.47","0.7760000000000002","0.615386679304583","0","49","15"
"5","50000","5","2","0.006","50","20","0.02","27","20","0.4059999999999999","0.7940000000000003","0.619543063460793","-15","49","16.4"
"2","50000","5","2","0.006","50","20","0.02","27","20","0.506","0.7558611877262669","0.6327448126552333","-6","46","18.5"
"5","50000","5","2","0.006","50","20","0.02","28","20","0.4119999999999999","0.8000000000000003","0.6224430634607929","-15","49","16.35"
"3","50000","5","2","0.006","50","20","0.02","26","20","0.4159999999999999","0.7725479577763246","0.6624154705337406","-1","49","20.1"
"2","50000","5","2","0.006","50","20","0.02","28","20","0.518","0.7618611877262669","0.6363749879766945","-6","46","18.35"
"4","50000","5","2","0.006","50","20","0.02","29","20","0.476","0.7760000000000002","0.619086679304583","-1","49","14.85"
"3","50000","5","2","0.006","50","20","0.02","27","20","0.42199999999999993","0.7725479577763246","0.6508930085106479","-1","49","19.9"
"4","50000","5","2","0.006","50","20","0.02","30","20","0.482","0.7820000000000003","0.6197866793045828","-1","49","14.7"
"2","50000","5","2","0.006","50","20","0.02","29","20","0.53","0.7678611877262669","0.6408749879766945","-6","46","18.3"
"5","50000","5","2","0.006","50","20","0.02","29","20","0.4179999999999999","0.8060000000000003","0.625343063460793","-15","49","16.3"
"3","50000","5","2","0.006","50","20","0.02","28","20","0.42799999999999994","0.7725479577763246","0.6508930085106479","-1","49","19.8"
"5","50000","5","2","0.006","50","20","0.02","30","20","0.42399999999999993","0.8120000000000003","0.6282430634607931","-15","49","16.3"
"3","50000","5","2","0.006","50","20","0.02","29","20","0.43999999999999995","0.7725479577763246","0.6475930085106478","-1","49","19.6"
"4","50000","5","2","0.006","50","20","0.02","31","20","0.488","0.7880000000000003","0.6215866793045828","-1","49","14.5"
"2","50000","5","2","0.006","50","20","0.02","30","20","0.53","0.7738611877262669","0.6429080696474934","-7","46","18.15"
"5","50000","5","2","0.006","50","20","0.02","31","20","0.4099999999999999","0.8180000000000003","0.6344776337179735","-15","49","16.2"
"4","50000","5","2","0.006","50","20","0.02","32","20","0.494","0.7940000000000003","0.6236866793045829","-1","49","14.4"
"3","50000","5","2","0.006","50","20","0.02","30","20","0.45199999999999996","0.7725479577763246","0.6476930085106478","-1","49","19.45"
"2","50000","5","2","0.006","50","20","0.02","31","20","0.53","0.7781497244320855","0.6426273458071831","-8","46","18"
"4","50000","5","2","0.006","50","20","0.02","33","20","0.5","0.8000000000000003","0.6251866793045828","-1","49","14.25"
"3","50000","5","2","0.006","50","20","0.02","31","20","0.46399999999999997","0.749197403699589","0.6378739159357242","-1","49","19.2"
"5","50000","5","2","0.006","50","20","0.02","32","20","0.42199999999999993","0.8240000000000003","0.6353776337179735","-16","49","16.1"
"4","50000","5","2","0.006","50","20","0.02","34","20","0.506","0.8060000000000003","0.6272866793045829","-1","49","14.15"
"5","50000","5","2","0.006","50","20","0.02","33","20","0.43399999999999994","0.8300000000000003","0.6389776337179734","-17","49","16.05"
"2","50000","5","2","0.006","50","20","0.02","32","20","0.536","0.7781497244320855","0.645794264136384","-8","46","17.95"
"4","50000","5","2","0.006","50","20","0.02","35","20","0.4949953928970984","0.8120000000000003","0.6251866793045829","-1","49","13.95"
"3","50000","5","2","0.006","50","20","0.02","32","20","0.476","0.7541857241567281","0.629637980508356","-1","49","18.95"
"2","50000","5","2","0.006","50","20","0.02","33","20","0.542","0.7781497244320855","0.6499942641363841","-8","46","17.9"
"4","50000","5","2","0.006","50","20","0.02","36","20","0.48099539289709836","0.8180000000000003","0.6272866793045828","-1","49","13.85"
"5","50000","5","2","0.006","50","20","0.02","34","20","0.44599999999999995","0.8360000000000003","0.6425776337179735","-18","49","16"
"4","50000","5","2","0.006","50","20","0.02","37","20","0.46699539289709835","0.8240000000000003","0.6303866793045828","-1","49","13.8"
"3","50000","5","2","0.006","50","20","0.02","33","20","0.488","0.7601857241567281","0.6321379805083559","-1","49","18.9"
"2","50000","5","2","0.006","50","20","0.02","34","20","0.548","0.781976044204962","0.6541942641363842","-8","46","17.85"
"4","50000","5","2","0.006","50","20","0.02","38","20","0.45299539289709834","0.8100000000000003","0.6300866793045828","-1","49","13.65"
"5","50000","5","2","0.006","50","20","0.02","35","20","0.42599999999999993","0.8420000000000003","0.6357365008451941","-18","48","15.95"
"2","50000","5","2","0.006","50","20","0.02","35","20","0.55","0.787976044204962","0.6586942641363842","-8","46","17.85"
"5","50000","5","2","0.006","50","20","0.02","36","20","0.43199999999999994","0.8480000000000003","0.6356365008451941","-19","48","15.8"
"3","50000","5","2","0.006","50","20","0.02","34","20","0.5","0.7661857241567281","0.6283114894872825","-1","48","18.8"
"5","50000","5","2","0.006","50","20","0.02","37","20","0.42999999999999994","0.8540000000000003","0.638236500845194","-20","48","15.75"
"1","50000","5","2","0.006","50","20","0.02","1","20","0.486","0.6531777253560435","0.5832117297557439","-1","44","17.95"
"4","50000","5","2","0.006","50","20","0.02","39","20","0.46499539289709835","0.7960000000000003","0.6337866793045828","-1","49","13.65"
"5","50000","5","2","0.006","50","20","0.02","38","20","0.4159999999999999","0.8600000000000003","0.6387365008451941","-20","48","15.65"
